wfpp,wikidata,label
https://wfpp.columbia.edu/person/marie-dressler/,Q253282,Marie Dressler
https://wfpp.columbia.edu/person/marie-louise-gagner-2/,Q4949374,Marie Louise Gagner
https://wfpp.columbia.edu/person/marie-stopes/,Q442231,Marie Stopes
https://wfpp.columbia.edu/person/marija-juric-zagorka/,Q291016,Marija Jurić Zagorka
https://wfpp.columbia.edu/person/marion-e-wong/,Q18715861,Marion E. Wong
https://wfpp.columbia.edu/person/marion-fairfax/,Q5421289,Marion Fairfax
https://wfpp.columbia.edu/person/marion-leonard/,Q1748192,Marion Leonard
https://wfpp.columbia.edu/person/marvin-breckinridge/,Q6778302,Marvin Breckinridge Patterson
https://wfpp.columbia.edu/person/mary-lawton-metcalfe/,Q89052949,Mary Lawton Metcalfe
https://wfpp.columbia.edu/person/mary-maclane/,Q6780211,Mary MacLane
https://wfpp.columbia.edu/person/mary-manning/,Q27150171,Mary Manning
https://wfpp.columbia.edu/person/mary-murillo/,Q3850492,Mary Murillo
https://wfpp.columbia.edu/person/mary-oconnor/,Q18419189,Mary H. O'Connor
https://wfpp.columbia.edu/person/mary-pickford/,Q104109,Mary Pickford
https://wfpp.columbia.edu/person/matilde-serao/,Q384594,Matilde Serao
https://wfpp.columbia.edu/person/maude-adams/,Q437509,Maude Adams
https://wfpp.columbia.edu/person/may-clark/,Q3307177,May Clark
https://wfpp.columbia.edu/person/may-watkis/,Q57915896,May Watkis
https://wfpp.columbia.edu/person/mimi-derba/,Q1936124,Mimí Derba
https://wfpp.columbia.edu/person/mona-donaldson/,Q38558552,Mona Donaldson
https://wfpp.columbia.edu/person/mrs-george-randolph-chester/,Q21664283,Lillian Josephine Chester
https://wfpp.columbia.edu/person/mrs-m-t-pender/,Q55806876,Margaret Pender
https://wfpp.columbia.edu/person/mrs-sidney-drew/,Q18534097,Lucille McVey
https://wfpp.columbia.edu/person/muriel-alleyne/,,
https://wfpp.columbia.edu/person/musidora/,Q453602,Musidora
https://wfpp.columbia.edu/person/nancy-naumburg/,Q89052896,Nancy Naumburg
https://wfpp.columbia.edu/person/natacha-rambova/,Q458874,Natacha Rambova
https://wfpp.columbia.edu/person/natalia-bakhareva/,Q113141285,Natalia Bakhareva
https://wfpp.columbia.edu/person/nell-emerald/,Q21664786,Nell Emerald
https://wfpp.columbia.edu/person/nell-shipman/,Q3337906,Nell Shipman
https://wfpp.columbia.edu/person/neyyire-neyir/,Q6096006,Neyyire Neyir
https://wfpp.columbia.edu/person/nina-agadzhanova-shutko/,Q7495246,Nina Agadzhanova-Shutko
https://wfpp.columbia.edu/person/nina-niovilla/,Q100700029,Nina Niovilla
https://wfpp.columbia.edu/person/norma-talmadge/,Q261133,Norma Talmadge
https://wfpp.columbia.edu/person/olga-petrova/,Q2052894,Olga Petrova
https://wfpp.columbia.edu/person/olga-printzlau/,,
https://wfpp.columbia.edu/person/olga-rakhmanova/,Q12147045,Olga Rakhmanova
https://wfpp.columbia.edu/person/osa-johnson/,Q2032483,Osa Johnson
https://wfpp.columbia.edu/person/ouida-bergere/,Q2067726,Ouida Bergère
https://wfpp.columbia.edu/person/paula-blackton/,,
https://wfpp.columbia.edu/person/paulette-mcdonagh/,Q7154855,Paulette McDonagh
